"customer_id
",first_name,last_name,email
1,Cally,Spieck,cspieck0@state.tx.us
2,Krishna,Knath,kknath1@economist.com
3,Lothaire,Batrick,lbatrick2@dropbox.com
4,Stephi,Gresswell,
5,Kristien,Stopps,kstopps4@fotki.com
6,Birch,,btokley5@omniture.com
49,Brynne,Mingay,bmingay1c@cdbaby.com
8,,Bilyard,bbilyard7@webmd.com
9,Colby,Dulling,cdulling8@yolasite.com
10,Suzie,Balk,sbalk9@unc.edu
49,Brynne,Mingay,bmingay1c@cdbaby.com
49,Brynne,Mingay,
13,Lynsey,Collabine,lcollabinec@symantec.com
21,Vita,Spick,vspickk@ted.com
15,Osbourn,Allawy,oallawye@fema.gov
16,Gaspar,BoHlingolsen,gbohlingolsenf@istockphoto.com
17,De witt,Horrod,dhorrodg@miitbeian.gov.cn
18,Fernande,Brevetor,fbrevetorh@studiopress.com
19,Buck,Paula,bpaulai@cmu.edu
20,Steffie,Manifield,smanifieldj@microsoft.com
21,Vita,Spick,vspickk@ted.com
22,Cecilio,Skitteral,cskitterall@digg.com
23,Blondie,Filippozzi,bfilippozzim@ebay.co.uk
24,Lexi,Boustead,lbousteadn@state.tx.us
25,Daphne,Chrispin,dchrispino@google.co.jp
26,Beatriz,Bromilow,bbromilowp@bloglines.com
27,Patience,Brine,pbrineq@icq.com
28,Chadd,Tugwell,ctugwellr@spiegel.de
29,Bernadina,Durek,bdureks@blogger.com
21,Vita,Spick,vspickk@ted.com
31,Nanni,Wales,nwalesu@hhs.gov
32,Hetty,Janway,hjanwayv@yelp.com
33,Bobette,Conford,bconfordw@xinhuanet.com
34,Ardella,Sweetnam,asweetnamx@dropbox.com
35,Farica,Urquhart,furquharty@nsw.gov.au
36,Romeo,Schrei,rschreiz@dyndns.org
37,Cullin,Videneev,cvideneev10@kickstarter.com
38,Gabrielle,Minnock,gminnock11@histats.com
39,Holt,Barlace,hbarlace12@cafepress.com
21,Vita,Spick,vspickk@ted.com
41,Jacques,Lartice,jlartice14@bandcamp.com
42,Vail,Medendorp,vmedendorp15@spotify.com
43,Gretna,Snalom,gsnalom16@engadget.com
44,Ambur,Ollerhad,aollerhad17@nasa.gov
45,Joelle,Tomaszewski,jtomaszewski18@amazon.co.jp
46,Annabelle,Arling,aarling19@mail.ru
47,Chic,Goscomb,cgoscomb1a@w3.org
48,Arlinda,Crowe,acrowe1b@sitemeter.com
49,Brynne,Mingay,bmingay1c@cdbaby.com
50,Judon,Calf,jcalf1d@msn.com
51,Ronny,Jarret,rjarret1e@netvibes.com
52,Philippa,Horsey,phorsey1f@feedburner.com
21,Vita,Spick,vspickk@ted.com
54,Alexander,Steenson,asteenson1h@army.mil
55,Omar,Sanday,osanday1i@addthis.com
56,Dorri,Hawksley,dhawksley1j@geocities.com
57,Jacquelyn,Jakeman,jjakeman1k@stanford.edu
58,Chet,MacPaden,cmacpaden1l@nba.com
59,Adham,Calkin,acalkin1m@answers.com
60,Willy,Nock,wnock1n@tinypic.com
61,Harper,Guildford,hguildford1o@scientificamerican.com
62,Cullin,Enric,cenric1p@usnews.com
63,Alex,Gutowski,agutowski1q@google.com.au
64,Loretta,Rodgman,lrodgman1r@hexun.com
65,Silvan,Kiljan,skiljan1s@sohu.com
66,Jodie,Letford,jletford1t@scribd.com
67,Delores,Le Breton,dlebreton1u@nhs.uk
68,Adi,Hodgins,ahodgins1v@netscape.com
69,Warden,Saer,wsaer1w@myspace.com
70,Stormi,Gilgryst,sgilgryst1x@photobucket.com
71,Nat,Vanacci,nvanacci1y@twitter.com
72,Hillier,Merali,hmerali1z@weibo.com
49,Brynne,Mingay,bmingay1c@cdbaby.com
74,Myca,Reedshaw,mreedshaw21@ft.com
75,Terra,Dilkes,tdilkes22@disqus.com
76,Leonelle,Sekulla,lsekulla23@zimbio.com
77,Ashia,Bage,abage24@nifty.com
49,Brynne,Mingay,bmingay1c@cdbaby.com
79,Marven,Chiplen,mchiplen26@cocolog-nifty.com
80,Cindie,Musterd,cmusterd27@hugedomains.com
